soil_type,nitrogen,phosphorus,potassium,organic_carbon,pH,recommended_crop,recommended_fertilizer
Black,20.93,20.88,314.82,1.92,8.07,Cotton,Potash + Urea
Laterite,21.78,9.6,85.83,0.43,4.34,Tea,Organic Mix
Red,51.05,15.09,136.94,0.48,6.08,Millets,SSP + Urea
Laterite,29.76,4.94,96.06,0.41,4.73,Cashew,Organic Compost
Alluvial,65.58,39.9,206.41,1.16,6.9,Wheat,NPK 10:26:26
Black,22.65,22.06,268.64,1.81,8.11,Cotton,Potash + Urea
Red,31.79,15.29,111.02,0.49,5.81,Maize,SSP + Urea
Red,58.24,8.16,135.7,0.59,6.2,Millets,SSP + Urea
Black,26.0,18.33,245.18,1.3,7.78,Soybean,Potash + Urea
Black,20.6,15.37,295.07,1.55,7.7,Pulses,Potash + Urea
Laterite,23.23,6.42,95.69,0.63,4.72,Cashew,Organic Mix
Alluvial,55.55,32.97,151.22,1.35,7.28,Maize,Urea + MOP
Red,46.98,16.9,126.82,0.71,6.44,Millets,Gypsum + SSP
Laterite,20.67,8.0,122.64,0.4,5.03,Tea,Organic Compost
Alluvial,86.34,34.68,166.77,0.88,7.26,Maize,Urea + MOP
Laterite,30.24,11.28,117.2,0.24,5.54,Rubber,Organic Compost
Laterite,16.97,10.39,105.81,0.32,5.04,Tea,Organic Mix
Black,36.34,22.58,264.13,1.99,7.14,Pulses,NPK 20:20:0
Alluvial,71.63,34.78,159.04,1.24,7.35,Sugarcane,Urea + MOP
Red,54.63,15.95,121.73,0.77,5.86,Millets,SSP + Urea
Red,57.13,17.62,128.92,0.86,5.77,Groundnut,Gypsum + SSP
Black,35.97,18.62,303.55,1.75,8.05,Soybean,Potash + Urea
Black,37.26,13.35,242.54,1.43,7.41,Pulses,NPK 20:20:0
Laterite,35.03,10.8,93.68,0.43,5.87,Rubber,Organic Compost
Red,47.09,12.44,135.37,0.75,6.08,Millets,Gypsum + SSP
Black,35.1,25.68,271.24,1.81,7.04,Pulses,Potash + Urea
Black,23.37,23.3,316.76,2.08,7.65,Cotton,Potash + Urea
Red,43.36,15.4,121.96,0.65,6.38,Maize,Gypsum + SSP
Laterite,24.79,12.23,117.3,0.59,5.71,Cashew,Organic Compost
Alluvial,57.12,22.08,198.99,1.04,6.89,Maize,Urea + DAP
Black,25.53,23.48,333.25,1.76,7.5,Soybean,NPK 20:20:0
Alluvial,79.02,39.88,171.16,0.87,6.71,Sugarcane,Urea + MOP
Laterite,14.81,6.51,106.2,0.31,5.62,Rubber,Organic Mix
Black,46.14,14.65,267.06,2.21,7.4,Cotton,Potash + Urea
Black,25.3,17.53,267.58,1.64,7.0,Cotton,NPK 20:20:0
Red,25.23,15.05,166.34,0.65,6.01,Groundnut,SSP + Urea
